"player_id","team_id","general_position","minutes_played","shots","shots_on_target","goals","xgoals","xplace","goals_minus_xgoals","key_passes","primary_assists","xassists","primary_assists_minus_xassists","goals_plus_primary_assists","xgoals_plus_xassists","points_added","xpoints_added","player_name","birth_date","weight_lb","nationality","season_name","primary_broad_position","primary_general_position","secondary_general_position","secondary_broad_position","height_cm"
"9Yqd640kMv","KAqBN0Vqbg","W",6779,153,61,17,15.553,2.2686,1.447,162,13,14.0875,-1.0875,30,29.6405,5.658,8.3517,"Ezequiel Barco","1999-03-29",148,"Argentina","2018, 2019, 2020, 2021","MF","W","ST","FW",167
"9Yqd67xjMv","mvzqoLZQap","FB",1037,5,1,0,0.1619,-0.1155,-0.1619,6,2,1.6192,0.3808,2,1.7811,0,0.0948,"Connor Maloney","1995-05-18",146,"USA","2017, 2018, 2019","DF","FB","WB","DF",167
"9Yqd6OVEMv","a2lqRX2Mr0","ST",69,4,1,0,0.3581,-0.1754,-0.3581,1,0,0.0409,-0.0409,0,0.3989,0,0.2003,"Zach Ryan","1999-01-14",161,"USA","2022","FW","ST","W","FW",182
"9Yqd6pKkMv","KAqBN0Vqbg","W",2878,71,34,7,6.3811,0.8046,0.6189,43,4,5.5192,-1.5192,11,11.9003,2.4969,4.2718,"Xande Silva","1997-03-16",152,"Portugal","2023, 2024, 2025","MF","W","ST","FW",177
"9Yqd6yrkMv","NWMWlBK5lz, 9z5k7Yg5A3","ST",7545,202,83,30,35.8682,-4.854,-5.8681,107,12,13.991,-1.991,42,49.8592,9.9251,16.1603,"Sergio Santos","1994-09-04",185,"Brazil","2019, 2020, 2021, 2022, 2023, 2024, 2025","FW","ST","W","FW",182
"9Yqd6zJLMv","0KPqjA456v","FB",5493,52,14,4,2.1748,0.0224,1.8252,51,3,3.8376,-0.8376,7,6.0124,2.1937,1.3159,"Marcos López","1999-11-20",148,"Peru","2019, 2020, 2021, 2022","DF","FB","WB","DF",175
"9Yqd6zwjMv","KAqBN0Vqbg","DM",5040,50,11,1,1.9756,-0.1675,-0.9756,38,1,2.7963,-1.7963,2,4.7719,0.4772,1.7733,"Santiago Sosa","1999-05-03",172,"Argentina","2021, 2022, 2023","MF","DM","CM","MF",175
"9Yqd6zYOMv","kRQabn8MKZ","FB",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Steffen Yeates","2000-01-04",157,"Canada","2022","DF","FB","CM","MF",167
"9Yqd8mLqvJ","4wM42l4qjB, jYQJ8EW5GR","W",6093,60,18,4,3.8853,-0.195,0.1147,62,1,5.697,-4.697,5,9.5822,2.6537,2.5725,"Eric Avila","1987-11-24",152,"USA","2013, 2014, 2015","MF","W","FB","DF",172
"9Yqda9EQvJ","mKAqBBmqbg","DM",501,10,2,0,0.8372,-0.4001,-0.8372,5,0,0.2021,-0.2021,0,1.0393,0,0.5803,"Peter Luccin","1979-04-09",174,"France","2013, 2014","MF","DM","CM","MF",180
